"Question","Answer","Key Word"
"그들은 살았다
150에이커의 농장에서.","They lived
on a 150-acre farm.","acre (n.)
An acre is a unit for measuring area."
"나는 믿는다
사후세계가 있다고.","I believe
that there is an afterlife.","afterlife (n.)
The afterlife is a life that some people believe begins when a person dies."
"그는 즐겼다
이집트의 대피라미드 방문을
그가 고고학을 사랑하기 때문에.","He enjoyed
visiting the Great Pyramids of Egypt
because he loves archaeology.","archaeology (n.)
Archaeology is the study of the remains left by ancient societies."
"회의가 열렸다
교수 회의실에서.","The meeting was held
in the faculty chamber.","chamber (n.)
A chamber is a closed space or room used for a special purpose."
"강이 깎아냈다
수로를
바위 사이로.","The river cut
a channel
through the rocks.","channel (n.)
A channel is a long, deep space between two edges."
"지구는 가지고 있다
단단한 내부 핵을.","Earth has
a solid inner core.","core (n.)
A core is the main or central part of something."
"그는 이용했다
왼쪽의 복도를
그의 사무실로 가기 위해.","He took
the corridor on the left
to go to his office.","corridor (n.)
A corridor is a narrow passage that leads into other areas."
"그는 가지고 있다
독특한 억양을.","He has
a distinct accent.","distinct (adj.)
A distinct thing is different or stands out."
"오직 엘리트 집단만
허용되었다 회원 자격이
그 클럽에.","Only an elite group
was allowed membership
into the club.","elite (adj.)
Elite means of or from a high-level group."
"로봇을 설계한 후,
그들은 찾아야 했다
그것을 만들기 위한 올바른 부품을.","After engineering the robot,
they needed to find
the correct parts to build it.","engineer (v.)
To engineer something is to skillfully plan out how to make that thing."
"내 할아버지가
설립했다 시티 은행을.","My grandfather
founded the City Bank.","found (v.)
To found something means to start, organize, or establish that thing."
"작은 틈이 있다
나무 블록 사이에.","There is a small gap
between the blocks of wood.","gap (n.)
A gap is a space between two things."
"그들은 즐겼다
아름다운 일몰의 장관을.","They enjoyed
the glory of the beautiful sunset.","glory (n.)
Glory is the importance, magnificence, or spaciousness of something."
"그들은 보았다
상자의 내부를.","They looked at
the interior of the box.","interior (n.)
An interior is the inside of something."
"우리는 갔다
사자를 보러
동물원에.","We went
to see the lion
at the zoo.","lion (n.)
A lion is a large animal in the cat family."
"사무실에서 그녀의 역할은
제품을 판매하는 것이다 고객에게.","Her role in the office is
to sell products to customers.","role (n.)
A role is a job, position, or part in something."
"공작 부인은
왕실 가문의 일원이었다.","The Duchess was
part of the royal family.","royal (adj.)
Royal means related to a king or queen."
"그녀는 유일한 여성이었다
그 방에서.","She was the sole woman
in the room.","sole (adj.)
A sole person or thing is the only one."
"그는 이용했다 계단을
엘리베이터 대신.","He took the stairs
instead of the elevator.","stairs (n.)
Stairs are a set of steps built to go from one level of a building to another."
"그녀는 닦았다
탁자의 표면을.","She wiped
the surface of the table.","surface (n.)
The surface is the top layer of something."
"그 말은 가지고 있었다
철로 만든 편자를.","The horse had shoes
made of iron.","iron (n.)
Iron is a strong metal that is used to make many objects."
"그는 사용했다 사다리를
그의 트리하우스 꼭대기로
올라가기 위해.","He used a ladder
to climb to the top
of his tree house.","ladder (n.)
A ladder is an object that is used to climb up and down things."
"데릭은 매우 겸손하다
그렇게 부유한 사람치고는.","Derek is very modest
for someone who is so rich.","modest (adj.)
If people are modest, they do not think that they are too important."
"케빈과 앨리스는 차지했다 의자들을
그리고 가졌다 긴 토론을.","Kevin and Alice occupied the chairs
and had a long discussion.","occupy (v.)
To occupy a place is to live, work, or be there."
"미국 대통령 에이브러햄 링컨이
페니에 있다.","US President Abraham Lincoln
is on the penny.","penny (n.)
A penny is a coin worth one cent."
"아론은 자주 설교했다
정직한 삶을 사는 것에 대해.","Aaron often preached
about living an honest life.","preach (v.)
To preach is to talk about and promote a religious idea."
"프랭크의 새로운 사업은
마침내 번창했다
수년간의 노력 끝에.","Frank's new business
finally prospered
after many years of hard work.","prosper (v.)
To prosper is to be successful or make a lot of money."
"캐나다는 나뉘어 있다
여러 다른 주들로.","Canada is divided
into several different provinces.","province (n.)
A province is an area that is controlled by a country."
"버드는 가득 찼다 만족감으로
그가 보았을 때
저녁 식사로 무엇이 있는지를.","Bird was filled with satisfaction
when he saw
what was for dinner.","satisfaction (n.)
Satisfaction is the feeling of having done or received something good."
"풍력은 깨끗한 방법이다
도시에 에너지를 공급할 수 있는.","Wind power is a clean way
to sustain a city with energy.","sustain (v.)
To sustain something is to keep it going."
"나는 생각한다 너가 받을 것이라고
톰의 동의를
이 제안에 대한.","I think you'll get
Tom's agreement
to this proposal.","agreement (n.)
An agreement is a formal decision about future action."
"어려움이 생겼다 컴퓨터에
그것이 오래되어서.","Difficulties arose with the computer
because it was old.","arise (v.)
To arise is to happen."
"그 학생의 후원자가
그에게 돈을 주었다
그의 학업에 쓰도록.","The student's benefactor
gave him money
to spend on his studies.","benefactor (n.)
A benefactor is a person who gives money to help someone."
"대장장이는 두드렸다 금속 조각을
그것이 납작해질 때까지.","The blacksmith pounded the piece of metal
until it was flat.","blacksmith (n.)
A blacksmith is a person who makes things out of metal."
"그 고양이는 앉아 있었다
지붕 위에
굴뚝 옆에.","The cat was sitting
on the roof
next to the chimney.","chimney (n.)
A chimney is a tall pipe used to carry smoke out of a building."
"그녀의 상사는 보상해 주었다
그녀에게 추가 업무에 대해
그녀가 지난주에 한.","Her boss compensated her
for the extra work
she did last week.","compensate (v.)
To compensate is to pay someone for the time they spent doing something."
"나는 마주쳤다 바다거북을
내가 수영하고 있는 동안.","I encountered a sea turtle
while I was swimming.","encounter (v.)
To encounter is to find or meet a person or thing."
"내가 한도를 초과했기 때문에,
나는 결심했다
신용카드를 없애기로.","Since I exceeded my limit,
I decided
to get rid of my credit cards.","exceed (v.)
To exceed is to be more than something."
"스테이시와 헤더는 만들어냈다 그들의 우정을
그들이 십대였을 때.","Stacy and Heather forged their friendship
when they were teenagers.","forge (v.)
To forge is to make or produce, especially with difficulty."
"비록 밥이 가장 똑똑한 소년이지만 그의 반에서,
그는 겸손하다.","Even though Bob is the smartest boy in his class,
he is humble.","humble (adj.)
People who are humble do not believe that they are better than other people."
"티나는 받았다 이상한 소포를
어제.","Tina acquired a strange package
yesterday.","acquire (v.)
To acquire something is to get or gain possession of that thing."
"그의 커피 컵을 떨어뜨린 후,
로비는 어색함을 느꼈다.","After dropping his coffee cup,
Robbie felt awkward.","awkward (adj.)
An awkward thing is embarrassing and uncomfortable."
"우리 할머니의 간병인은
그녀를 돕는다
집 안에서 돌아다니는 것을.","My grandmother's caretaker
helps her
get around the house.","caretaker (n.)
A caretaker is a person who takes care of very young, old, or sick people."
"그는 시도했다
그의 친구들을 속이려고
카드 마술로.","He tried
to deceive his friends
with a card trick.","deceive (v.)
To deceive is to make someone believe something that is not true."
"페리 선생님은 단념시켰다 학생들이
학교를 그만두는 것을.","Mr. Perry discouraged the students
from quitting school.","discourage (v.)
To discourage is to make someone feel less excited about something."
"그 모델은 쓰고 있었다
가짜 머리카락을.","The model was wearing
fake hair.","fake (adj.)
A fake thing is made to look real in order to trick people."
"나는 가지고 있다 증오심을
약의 맛에 대한.","I have a hatred
for the taste of medicine.","hatred (n.)
Hatred is a strong feeling of not liking someone or something."
"우리 모두는 들어갔다
오두막 안으로
잠자기 위해.","We all went
into the hut
to sleep.","hut (n.)
A hut is a small house made of wood, grass, or mud that has only one or two rooms."
"100년 전에 만들어진 자동차들은
열등하다 오늘날 만들어진 것들에 비해.","Cars built a hundred years ago
are inferior to ones built today.","inferior (adj.)
An inferior thing is not as good as something else."
"우리의 스키 여행 동안,
우리는 머물렀다 산장에서.","During our ski trip,
we stayed at a lodge.","lodge (n.)
A lodge is a house in the mountains used by people who hunt or fish."
"윌리엄은 방치했다 그의 방을,
그래서 그것은 완전히 엉망이다.","William neglected his room,
so it is a complete mess.","neglect (v.)
To neglect someone or something is to not take care of it properly."
"학생들은 즐겁게 환영했다
새로 온 사람을
학교에.","The students happily welcomed
the newcomer
to the school.","newcomer (n.)
A newcomer is a person who has recently arrived at a place or a group."
"자동차를 훔치는 것은
매우 심각한 범죄이다.","Stealing a car
is a very serious offense.","offense (n.)
An offense is behavior that is wrong or breaks a law."
"브렌다는 못 봤다 마지막 계단을
그리고 심하게 넘어졌다.","Brenda overlooked the last step
and had a bad fall.","overlook (v.)
To overlook something is to not notice it or to not realize that it is important."
"그녀는 보답했다 그녀의 친구에게
그의 모든 노력에 대해
작은 선물로.","She repaid her friend
for all of his hard work
with a small gift.","repay (v.)
To repay is to pay back or to reward someone or something."
"스티브는 우스꽝스러워 보였다
그 거대한 파란 선글라스를 쓰고서.","Steve looked ridiculous
with those huge blue sunglasses.","ridiculous (adj.)
A ridiculous thing is silly or strange."
"미나는 자주 받았다 만족스러운 성적을
그녀가 매우 열심히 공부했기 때문에.","Mina often received satisfactory grades
since she studied so hard.","satisfactory (adj.)
A satisfactory thing is good enough."
"양치기는 옮겼다 양들을
다른 들판으로.","The shepherd moved the sheep
to another field.","shepherd (n.)
A shepherd is a person who protects and cares for sheep."
"비록 위험했지만,
그들은 모험적으로 갔다 산 위로.","Even though it was dangerous,
they ventured up the mountain.","venture (v.)
To venture is to go to a place that may be dangerous."
"황금빛 밀밭은
준비되어 있었다 수확될.","The field of golden wheat
was ready to be harvested.","wheat (n.)
Wheat is a plant from which we get the grain used to make bread."
"우리 집 뒤의 골목은
더러워 보인다.","The alley behind my house
looks dirty.","alley (n.)
An alley is a narrow road between houses of buildings."
"그녀는 사용했다 도끼를
나무를 자르기 위해 불을 위한.","She used an ax
to cut some wood for the fire.","ax (n.)
An ax is a tool used to cut wood."
"그녀는 배가 고팠다,
그래서 그녀는 먹었다 포도 한 송이 전체를.","She was hungry,
so she ate the entire bunch of grapes.","bunch (n.)
A bunch is a group of the same things."
"그것은 니키의 집안일이다
설거지하는 것
매주 화요일과 수요일 밤마다.","It's Nikki's chore
to do the dishes
every Tuesday and Wednesday night.","chore (n.)
A chore is an unpleasant job that must be done."
"에릭은 했다 괜찮은 일을
울타리를 칠하는.","Eric did a decent job
painting the fence.","decent (adj.)
A decent person or thing is OK or good enough."
"이것은 부끄러운
돈 낭비이다.","This is a disgraceful
waste of money.","disgraceful (adj.)
Disgraceful behavior is behavior that is very bad."
"그녀는 가리켰다 그녀의 팔꿈치를
나에게 보여주기 위해
그녀가 어디를 다쳤는지.","She pointed to her elbow
to show me
where she hurt herself.","elbow (n.)
The elbow is the middle part of an arm, where it bends."
"그 소녀들은 감사했다 기회에 대해
그들의 할아버지를 방문할.","The girls were grateful for the chance
to visit their grandfather.","grateful (adj.)
A grateful person feels thankful about something."
"카렌의 오빠는 짜증나게 했다 그녀를
그가 그녀에게 말했을 때
그녀의 카메라를 잃어버렸다고.","Karen's brother irritated her
when he told her
that he had lost her camera.","irritate (v.)
To irritate means to annoy someone."
"나는 진짜로 화난 게 아니야.
나는 농담했었어
내가 화났다고 말했을 때.","I am not really mad.
I was kidding
when I said I was angry.","kid (v.)
To kid is to say something that is not true as a joke."
"그 볼트는 헐거웠다,
그래서 나는 조였다 그것을 렌치로.","The bolt was loose,
so I tightened it with the wrench.","loose (adj.)
A loose thing is not held in place tightly."
"그들 둘 다 기분이 상했다
그들이 서로에게 말한 것에 의해.","They were both offended
by what they had said to each other.","offend (v.)
To offend is to make someone angry or upset."
"캠핑객들은 머물렀다
텐트에서 밤새도록.","The campers stayed
in the tent overnight.","overnight (adv.)
An overnight action happens during the night."
"비록 그 수업이 어려웠지만,
그는 끈질기게 계속했다 그가 이해할 때까지.","Even though the lesson was difficult,
he persisted until he understood.","persist (v.)
To persist means to keep doing something even when it is hard."
"많은 아름다운 소나무들이 있었다
숲 속에.","There were many beautiful pine trees
in the forest.","pine (n.)
A pine is a type of tall, thin tree with needles instead of leaves."
"그 남자는 가지고 있었다 끔찍한 흉터들을
그의 뺨과 이마에.","The man had horrible scars
on his cheek and forehead.","scar (n.)
A scar is a mark on the skin after a wound heals."
"엄마는 받았다 고통스러운 느낌을
그녀의 머리에
시끄러운 소음으로부터.","Mom got a painful sensation
in her head
from the loud noise.","sensation (n.)
A sensation is a feeling that people get from their senses."
"마빈은 좋아한다 그의 썰매 타는 것을
언덕 아래로
겨울에.","Marvin likes to ride his sled
down the hill
in winter.","sled (n.)
A sled is a small vehicle used on snow."
"제이크는 놀렸다 찰리를
그가 새로운 학생이었기 때문에.","Jake teased Charlie
because he was the new student.","tease (v.)
To tease means to laugh at or make fun of someone."
"해리는 원했다 몰리가
그의 발렌타인이 되기를.","Harry wanted Molly
to be his valentine.","valentine (n.)
A valentine is someone loved or admired with great affection."
"낸시는 익혔다 그녀 자신을
새로운 컴퓨터에.","Nancy acquainted herself
with the new computer.","acquaint (v.)
To acquaint is to get to know something or someone."
"일부 사람들은 무서워한다
묘지를.","Some people are scared
of cemeteries.","cemetery (n.)
A cemetery is a place where people are buried when they die."
"그 생명체들은 산다
아프리카에.","Those creatures live
in Africa.","creature (n.)
A creature is an animal or person."
"마녀는 저주했다
그 마을을.","The witch cursed
the village.","curse (v.)
To curse someone is to hope that bad things happen for that person."
"모두가 알았다 그것이 아빠라는 것을
산타 분장 속의.","Everyone knew that it was Dad
in the Santa disguise.","disguise (n.)
A disguise is something you wear so that people cannot tell who you are."
"그들의 식탁은 모두 차려졌다
화려한 저녁 식사를 위해.","Their table was all set
for a fancy dinner.","fancy (adj.)
A fancy thing is more or more detailed than normal."
"우리는 가져갔다 손전등을
우리가 캠핑 갔을 때.","We took a flashlight
when we went camping.","flashlight (n.)
A flashlight is a small electric light that people carry in their hands."
"그녀는 썼다 그녀의 후드를
그녀의 머리를 따뜻하게 유지하기 위해.","She put on her hood
to keep her head warm.","hood (n.)
A hood is part of a coat that goes over a person's head."
"거주자들의 수는 시골에서
증가하고 있다.","The number of inhabitants in the countryside
is increasing.","inhabitant (n.)
An inhabitant is a person who lives in a certain place."
"좋은 어머니는 자양분을 줄 것이다
그녀의 아기에게
매일.","A good mother will nourish
her baby
every day.","nourish (v.)
To nourish is to give someone or something the food needed to live."
"해적들은
매우 무서운 인물들이다.","Pirates are
very scary characters.","pirate (n.)
A pirate is a sailor who steals things from other boats."
"그녀는 구독자였다
그 출판물의
10년 이상 동안.","She's been a subscriber
to that publication
for over ten years.","publication (n.)
A publication is something printed, like a newspaper or book."
"나는 답할 수 없었다 웬디의 수수께끼에,
하지만 그것이 나를 웃게 만들었다.","I could not answer Wendy's riddle,
but it made me laugh.","riddle (n.)
A riddle is a question that is difficult to answer but meant to be funny."
"그 오래된 통나무는
썩기 시작했다 숲 속에서.","The old log began
to rot in the forest.","rot (v.)
To rot is to slowly get softer and become destroyed."
"나의 근무일은
곧 끝날 것이다.","My workday
will end shortly.","shortly (adv.)
An action that happens shortly will end shortly."
"해골이 있다
과학 교실에.","There is a skeleton
in the science classroom.","skeleton (n.)
A skeleton is all the bones of a body."
"우리는 두었다 그 과일을 밖에 너무 오래,
그래서 그것이 상했다.","We left the fruit out too long,
and it spoiled.","spoil (v.)
To spoil is to rot or to make bad."
"전쟁 중에,
많은 사람들이 굶주렸다.","During the war,
many people starved.","starve (v.)
To starve is to not get enough food for a long period of time."
"이 서퍼는 즐긴다 스릴을
큰 파도를 타는.","This surfer enjoys the thrill
of surfing a big wave.","thrill (n.)
A thrill is an exciting feeling."
"나의 상사는
매우 사악한 사람이다.","My boss is
a very wicked man.","wicked (adj.)
A wicked person is very bad or evil."
